"a"	"b"	"c"	"d"	"e"	"f"	"g"	"h"	"Y"
10	-1.35384886742554	-0.590415026862438	-1.77610566735591	0.287577520124614	7	2	18	1
4	-0.579377251833745	-1.27022299501705	0.720528763688361	0.788305135443807	6	0	9	0
5	-0.861044197551661	2.16020243740545	0.844179846592297	0.4089769218117	4	2	5	0
2	0.972678342465014	2.03608514759368	-1.4864618670416	0.883017404004931	9	0	10	0
9	0.619145771295814	1.41537083858444	0.360442596616114	0.940467284293845	5	1	8	0
3	1.38544567240945	0.033186265432103	1.93151337567332	0.0455564993899316	4	3	4	1
3	-1.48727036997846	0.228786562116114	0.721807298413319	0.528105488047004	4	1	28	1
6	0.639192676088846	0.0705268542741964	-0.983251220849987	0.892419044394046	6	2	12	0
6	0.374734872711839	3.45744437546072	0.404307114801628	0.551435014465824	6	1	10	1
5	0.370187867392622	0.865086507845127	-0.514109769869804	0.456614735303447	1	1	3	1
9	0.631771098256187	1.53169443383179	0.583214762181452	0.956833345349878	7	4	23	0
2	-1.51060638460999	2.68106294930145	-1.12410803852099	0.453334156190977	6	2	15	0
10	0.573412811007648	-0.996367163481386	-2.42083543830344	0.677570635452867	5	0	19	0
2	-0.187477986011177	4.15178124140863	2.81130142440939	0.572633401956409	4	2	20	0
5	0.160333504261082	0.201721604669367	1.12337847419879	0.102924682665616	4	1	3	1
8	-0.376124270322569	1.9633108342281	-2.64052096845531	0.899824970401824	4	2	5	0
1	0.723492227593343	0.0631532713964913	-1.09516904572745	0.24608773435466	4	1	6	1
8	0.960404032785513	3.73381503050642	2.48816359233737	0.0420595335308462	6	0	18	1
4	-0.205747355411774	-0.870400358478596	0.885908232065487	0.327920719282702	6	2	19	1
5	0.2561612518858	2.39262591227516	-1.37366257024164	0.954503649147227	1	1	7	0
4	1.63857111050823	-0.549580370819968	-0.489297145753456	0.889539316063747	5	0	4	0
1	-2.12369731348779	2.28979456897966	-2.63992602626432	0.6928034061566	2	3	32	0
5	0.0877846396445426	1.36753002315402	2.40708618323308	0.640506813768297	4	1	18	1
2	1.7705929739088	0.299684591137439	0.622573221015114	0.994269776623696	3	3	8	0
9	-0.399193233048252	2.10760335455699	0.196984918840232	0.655705799115822	3	1	24	0
6	-0.816086499784593	4.60587201650981	0.42890031840705	0.708530468167737	4	3	21	0
2	0.208301901568451	0.401945783484487	-3.25990140720536	0.544066024711356	6	1	4	0
9	-0.843622778332421	-0.539173714882807	2.80331330553479	0.59414202044718	6	2	7	0
1	-1.64469397425036	-0.97222982711469	-1.45695191161517	0.28915973729454	6	0	14	1
9	-0.500530567364499	-1.13763246438786	2.85737871293952	0.147113647311926	5	1	15	1
8	-2.3193331996147	1.43737965678641	-1.05707203894911	0.963024232536554	6	2	16	0
8	-0.92457864081657	-0.518567865529514	-2.60610529725344	0.902299045119435	7	2	11	0
5	0.370402753047859	-2.04770805857631	2.33598276393198	0.690705278422683	4	0	21	0
1	0.742558936086738	2.73600560602813	2.11659608297439	0.795467417687178	9	2	7	0
7	-0.00300897917551872	0.649237138528471	1.9924819834266	0.0246136845089495	7	1	9	1
8	-0.0866432374423072	0.646620398125946	-1.85876482079163	0.477795971091837	5	2	5	1
1	-0.0910004196582893	1.71512067395436	-2.23405426694149	0.758459537522867	6	2	13	1
9	0.533516822346471	1.88490275207411	2.35771684720044	0.216407935833558	3	2	9	1
3	-1.53485989629204	1.06062266823201	0.304262163744704	0.318181007634848	5	0	6	1
5	-0.330945904107939	2.46327621444801	-2.90034584945823	0.231625785352662	4	0	13	1
5	0.850605108345301	4.47480716154551	-0.261857718045575	0.142800022382289	5	0	12	1
1	-0.559240368418086	2.67904219565705	-1.93963358054112	0.414546335814521	8	1	12	1
10	-1.1033691728125	1.00310271710179	-1.54167471314405	0.413724326295778	4	4	9	1
3	0.166110425745111	-1.34552892253906	-1.4910045860498	0.368845450924709	4	3	8	1
10	0.447000506521713	0.326608289211053	1.38421667435138	0.152444747742265	9	2	12	1
6	0.291839969825728	0.904136999669844	-0.877273334206252	0.13880606344901	1	2	16	1
6	0.623253302910967	0.671155915923253	-1.58678026200097	0.233034099452198	4	3	10	1
2	-1.03480756820665	-0.00454121709753386	-2.16934824750225	0.465962450252846	7	1	12	0
9	0.871086772288587	1.92009538217715	0.368778742356469	0.265972640365362	3	3	10	1
10	0.689262904478591	3.72406776796377	-4.69077439562379	0.857827715342864	3	3	3	0
3	0.277739772967232	-2.14876165239046	-0.0339901369059111	0.0458311666734517	3	2	9	1
5	0.502192168071631	3.30412968231149	2.86017670738566	0.442200074205175	6	1	12	0
4	-1.46916116773357	0.0648067114744966	-1.67599881217083	0.798924845643342	3	1	9	0
2	1.96094076576915	2.43004198537177	2.01259249578222	0.12189925997518	1	1	8	1
5	-0.631086188099086	-0.97441647248804	1.09711050698074	0.560947983758524	3	3	7	0
2	1.16265562638377	0.77583749832569	-0.979162168263321	0.20653138961643	5	2	12	1
1	1.22379737078494	3.17292543237755	-1.00602979472297	0.127531650243327	4	1	22	1
1	-1.37114505876428	-3.90912742770375	3.25785009090603	0.753307864302769	5	1	11	0
5	-0.464620778888233	0.680846531735328	-0.643171061436087	0.895045359153301	4	3	13	0
7	-0.0296229875750547	1.9240067779272	0.746569262408589	0.374462775886059	2	1	3	1
6	-0.9096983101842	-1.73378713590428	3.19709550465592	0.665115194628015	5	0	14	0
6	0.355713304435728	0.65482484701289	-0.237415039188813	0.0948406609240919	5	2	17	1
2	-0.127382582068925	1.11907726081669	-1.02944459204845	0.383969637798145	3	1	24	1
7	-0.554097232327917	-0.439721986986716	-1.1830194933903	0.27438364457339	6	1	13	1
1	-0.764215525434538	-0.30697135400465	3.25138738910939	0.814640038879588	4	1	26	0
4	0.883461260043088	0.267045742294516	-1.37797378372867	0.448516341391951	7	0	16	1
10	0.340039024972865	1.09680203826401	-1.61024625110283	0.810064353048801	6	3	2	0
1	-1.24383960336302	1.74274220001857	-1.09429827159376	0.812389509519562	5	0	10	0
4	1.66347933790812	0.912769635841926	2.29908424004353	0.794342321110889	10	3	24	0
1	1.12765731620513	2.74729055527585	1.28267419708118	0.439831687603146	5	2	19	0
7	-0.0120569542781613	0.763954328220798	4.85328834263152	0.754475158639252	5	3	6	0
2	1.96784041392583	2.79319832657139	1.83408854453853	0.629221131559461	4	3	12	0
4	-1.14394042275182	3.32344145481614	1.040258045416	0.710182401351631	4	1	11	0
1	-1.63922865464756	3.7454895015161	1.55970711416611	0.000624773325398564	2	1	10	1
10	-2.50724007144005	1.13901391410967	0.560037483461724	0.475316574098542	5	2	6	1
10	-0.645955924429265	1.12450518045249	-0.112608198136693	0.220118885161355	6	2	9	1
4	-0.576465118452862	1.49926124529674	-2.29091850708458	0.379816537722945	4	2	4	0
7	0.906521409087753	2.63972221247442	-1.87542569948508	0.612771003274247	7	0	0	1
7	1.26136263062651	4.58506323334249	-0.0531940549533641	0.351797909243032	6	1	12	0
10	0.159554468384594	0.469595520783729	0.886459803311392	0.111135424347594	9	0	8	1
8	-0.244715903930626	4.41485107824439	-0.835121386910311	0.243619472719729	5	1	14	1
